date,store,units_sold,revenue,category,is_end_of_month
2025-04-22,Rome,25.0,402.5,toys,False
2025-04-12,Syracuse,38.0,3154.0,electronics,False
2025-12-21,Utica,42.0,1299.06,home goods,False
2025-02-11,Syracuse,60.0,5114.4,electronics,False
2025-04-10,Syracuse,10.0,147.1,toys,False
2025-05-07,Utica,39.0,3531.06,electronics,False
2025-03-04,Rome,129.0,807.54,groceries,False
2025-05-22,Utica,29.0,921.62,home goods,False
2025-11-26,Utica,108.0,631.8,groceries,False
2025-09-04,Rome,135.0,839.7,groceries,False
2025-03-20,Rome,20.0,289.6,toys,False
2025-08-28,Albany,19.0,279.49,toys,False
2025-10-21,Albany,36.0,546.84,toys,False
2025-03-09,Albany,93.0,2309.19,clothing,False
2025-05-11,Syracuse,53.0,1361.57,clothing,False
2025-05-14,Utica,64.0,1578.24,clothing,False
2025-04-18,Rome,56.0,1384.88,clothing,False
2025-03-20,Syracuse,56.0,1332.24,clothing,False
2025-03-13,Utica,38.0,1266.16,home goods,False
2025-12-22,Rome,35.0,1128.13,electronics,False
2025-06-26,Syracuse,17.0,283.56,toys,False
2025-06-22,Syracuse,83.0,1974.57,clothing,False
2025-07-27,Syracuse,186.0,1244.34,groceries,False
2025-06-04,Rome,45.0,1371.6,home goods,False
2025-08-22,Syracuse,38.0,3009.6,electronics,False
2025-05-27,Albany,22.0,310.2,toys,False
2025-05-28,Utica,151.0,979.99,groceries,False
2025-05-20,Utica,50.0,1663.0,home goods,False
2025-05-05,Rome,32.0,1026.56,home goods,False
2025-09-22,Utica,148.0,996.04,groceries,False
2025-05-28,Syracuse,33.0,465.96,toys,False
2025-11-27,Syracuse,65.0,1484.6,clothing,False
2025-12-28,Syracuse,31.0,446.71,toys,False
2025-06-18,Syracuse,25.0,2188.75,electronics,False
2025-02-11,Utica,51.0,3674.55,electronics,False
2025-01-10,Rome,32.0,948.48,home goods,False
2025-07-22,Syracuse,45.0,1634.4,home goods,False
2025-06-01,Rome,32.0,483.52,toys,False
2025-04-24,Albany,179.0,1131.28,groceries,False
2025-04-13,Syracuse,52.0,4157.4,electronics,False
2025-08-11,Albany,60.0,1513.2,clothing,False
2025-02-21,Rome,14.0,406.28,home goods,False
2025-04-09,Albany,19.0,285.95,toys,False
2025-06-06,Syracuse,32.0,2730.88,electronics,False
2025-03-21,Albany,37.0,1140.34,home goods,False
2025-07-07,Utica,34.0,1129.48,home goods,False
2025-12-25,Albany,126.0,800.1,groceries,False
2025-10-27,Albany,25.0,365.25,toys,False
2025-05-01,Syracuse,16.0,214.08,toys,False
2025-10-07,Utica,47.0,1128.13,home goods,False
2025-07-29,Utica,34.0,838.1,clothing,True
2025-03-25,Rome,23.0,330.51,toys,False
2025-11-17,Rome,38.0,1244.88,home goods,False
2025-11-01,Syracuse,42.0,1481.76,home goods,False
2025-11-18,Utica,54.0,1309.5,clothing,False
2025-06-11,Albany,42.0,1107.54,clothing,False
2025-08-29,Syracuse,21.0,661.08,home goods,True
2025-10-21,Albany,49.0,4201.26,electronics,False
2025-08-19,Syracuse,47.0,1203.67,clothing,False
2025-11-07,Albany,37.0,527.99,toys,False
2025-08-19,Utica,107.0,759.7,groceries,False
2025-07-30,Albany,116.0,752.84,groceries,True
2025-08-09,Utica,76.0,1698.6,clothing,False
2025-01-20,Syracuse,67.0,1717.88,clothing,False
2025-08-03,Rome,51.0,3954.03,electronics,False
2025-01-10,Utica,27.0,848.61,home goods,False
2025-01-16,Albany,24.0,378.96,toys,False
2025-09-28,Utica,69.0,1740.87,clothing,True
2025-09-28,Utica,169.0,1073.15,groceries,True
2025-03-01,Utica,78.0,6814.08,electronics,False
2025-12-26,Syracuse,66.0,1620.96,clothing,False
2025-10-16,Albany,25.0,377.75,toys,False
2025-11-29,Syracuse,35.0,1128.13,home goods,True
2025-05-24,Albany,77.0,2011.24,clothing,False
2025-11-25,Syracuse,52.0,4698.2,electronics,False
2025-07-13,Rome,35.0,498.05,toys,False
2025-02-16,Utica,50.0,1570.0,home goods,False
2025-12-12,Syracuse,22.0,314.6,toys,False
2025-10-18,Syracuse,68.0,5476.72,electronics,False
2025-09-02,Rome,150.0,972.0,groceries,False
2025-08-27,Utica,23.0,340.17,toys,False
2025-10-01,Rome,59.0,1362.31,clothing,False
2025-01-06,Rome,150.0,982.5,groceries,False
2025-01-27,Rome,68.0,1682.32,clothing,False
2025-09-17,Rome,45.0,3770.55,electronics,False
2025-08-15,Syracuse,63.0,1606.5,clothing,False
2025-12-07,Albany,27.0,2279.61,electronics,False
